row_num,final_label,confidence,rationale
205,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
206,TRANSACTION,高,"保险/金融服务通知"
207,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
208,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
209,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
210,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
211,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
212,NEEDS_REVIEW,高,"天气预报服务信息"
213,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
214,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
215,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
216,AD,中,"运营商营销推广"
217,NEEDS_REVIEW,中,"工作/业务通知，需人工判断"
218,AD,中,"运营商营销推广"
219,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
220,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
221,NEEDS_REVIEW,高,"天气预报服务信息"
222,AD,高,"产品营销广告"
223,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
224,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
225,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
226,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
227,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
228,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
229,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
230,AD,中,"运营商营销推广"
231,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
232,TRANSACTION,高,"快递/物流服务通知"
233,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
234,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
235,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
236,NEEDS_REVIEW,高,"天气预报服务信息"
237,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
238,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
239,AD,高,"包含多个广告特征"
240,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
241,TRANSACTION,高,"快递/物流服务通知"
242,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
243,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
244,AD,中,"医疗推广信息"
245,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
246,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
247,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
248,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
249,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
250,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
251,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
252,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
253,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
254,NEEDS_REVIEW,高,"天气预报服务信息"
255,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
256,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
257,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
258,HARASS,高,"匹配催收模式"
259,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
260,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
261,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
262,TRANSACTION,高,"快递/物流服务通知"
263,TRANSACTION,高,"快递/物流服务通知"
264,AD,中,"医疗推广信息"
265,TRANSACTION,高,"快递/物流服务通知"
266,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
267,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
268,AD,中,"运营商营销推广"
269,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
270,TRANSACTION,高,"快递/物流服务通知"
271,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
272,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
273,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
274,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
275,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
276,TRANSACTION,高,"快递/物流服务通知"
277,AD,中,"医疗推广信息"
278,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
279,TRANSACTION,高,"快递/物流服务通知"
280,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
281,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
282,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
283,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
284,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
285,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
286,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
287,AD,高,"贷款产品推广广告"
288,AD,中,"运营商营销推广"
289,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
290,TRANSACTION,高,"保险/金融服务通知"
291,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
292,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
293,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
294,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
295,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
296,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
297,HARASS,高,"包含催收/威胁关键词"
298,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
299,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
300,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
301,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
302,TRANSACTION,高,"快递/物流服务通知"
303,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
304,HARASS,高,"包含催收/威胁关键词"
305,NEEDS_REVIEW,中,"服务评价邀请，边界模糊"
306,AD,中,"运营商营销推广"
307,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
308,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
309,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
310,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
311,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
312,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
313,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
314,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
315,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
316,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
317,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
318,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
319,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
320,HARASS,高,"包含催收/威胁关键词"
321,NEEDS_REVIEW,高,"天气预报服务信息"
322,AD,中,"医疗推广信息"
323,TRANSACTION,高,"快递/物流服务通知"
324,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
325,TRANSACTION,高,"快递/物流服务通知"
326,NEEDS_REVIEW,中,"服务评价邀请，边界模糊"
327,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
328,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
329,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
330,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
331,AD,中,"医疗推广信息"
332,AD,中,"医疗推广信息"
333,NEEDS_REVIEW,高,"天气预报服务信息"
334,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
335,AD,中,"运营商营销推广"
336,NEEDS_REVIEW,高,"天气预报服务信息"
337,TRANSACTION,高,"快递/物流服务通知"
338,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
339,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
340,AD,中,"运营商营销推广"
341,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
342,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
343,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
344,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
345,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
346,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
347,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
348,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
349,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
350,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
351,HARASS,高,"包含催收/威胁关键词"
352,TRANSACTION,高,"保险/金融服务通知"
353,AD,中,"服务评价邀请，含营销激励（抽奖/礼品）"
354,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
355,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
356,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
357,TRANSACTION,高,"快递/物流服务通知"
358,AD,中,"教育培训推广"
359,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
360,TRANSACTION,高,"快递/物流服务通知"
361,AD,高,"贷款产品推广广告"
362,AD,中,"教育培训推广"
363,AD,中,"运营商营销推广"
364,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
365,NEEDS_REVIEW,高,"天气预报服务信息"
366,TRANSACTION,高,"快递/物流服务通知"
367,HARASS,高,"包含催收/威胁关键词"
368,NEEDS_REVIEW,中,"工作/业务通知，需人工判断"
369,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
370,NEEDS_REVIEW,高,"天气预报服务信息"
371,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
372,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
373,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
374,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
375,AD,中,"运营商营销推广"
376,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
377,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
378,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
379,AD,中,"运营商营销推广"
380,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
381,TRANSACTION,高,"快递/物流服务通知"
382,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
383,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
384,NEEDS_REVIEW,高,"天气预报服务信息"
385,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
386,NEEDS_REVIEW,高,"天气预报服务信息"
387,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
388,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
389,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
390,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
391,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
392,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
393,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
394,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
395,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
396,AD,中,"医疗推广信息"
397,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
398,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
399,NEEDS_REVIEW,高,"天气预报服务信息"
400,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
401,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
402,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
403,AD,高,"贷款产品推广广告"
404,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
405,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
406,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
407,AD,中,"医疗推广信息"
408,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
409,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
410,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
411,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
412,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
413,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
414,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
415,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
416,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
417,AD,中,"运营商营销推广"
418,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
419,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
420,AD,高,"贷款产品推广广告"
421,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
422,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
423,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
424,TRANSACTION,高,"快递/物流服务通知"
425,AD,中,"医疗推广信息"
426,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
427,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
428,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
429,TRANSACTION,高,"快递/物流服务通知"
430,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
431,TRANSACTION,高,"保险/金融服务通知"
432,NEEDS_REVIEW,高,"天气预报服务信息"
433,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
434,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
435,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
436,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
437,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
438,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
439,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
440,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
441,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
442,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
443,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
444,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
445,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
446,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
447,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
448,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
449,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
450,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
451,TRANSACTION,高,"包含明确的交易信息（金额/账单/到账/验证码）"
452,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
453,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
454,TRANSACTION,高,"运营商服务通知（流量/余额/账单/来电提醒）"
455,TRANSACTION,中,"车辆服务通知"
456,NEEDS_REVIEW,低,"无法明确归类，需人工判断"
457,TRANSACTION,中,"疑似交易/服务通知，需人工确认"
458,NEEDS_REVIEW,高,"政府/公益/公共服务信息，无商业推广"
