id,text,language,source,binary_label,suggested_label,suggest_reason,label,annotator,template_group,notes
zh_pilot_0010,【大众点评】温馨提示：08月02日 19:00 京基？粤菜王府(大梅沙店)(大梅沙店)恭候您来就餐！若临时改变心意，请在就餐时间前直接回复 1 取消预订，以免影响到您的信誉等级哦~如果您确定会到店消费可回复3，谢谢！,zh,gitcode_zh_sms_8a104,0,AD,merchant-promo,,,a1585d97197d,
zh_pilot_0011,你好！我公司代理，商业建材，广告服务业等发票。用后付款。需要来电：136 325 66616周晓慧  如有打扰，敬请谅解。谢谢,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,a031dfd879cb,
zh_pilot_0012,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mgP/WHDDU,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,acba29da0882,
zh_pilot_0013,尊敬的王冰女士：即日起，邀请满3位好友体验现金宝充话费（97折，全网最低）、还信用卡（跨行实时免费）、快速取现（瞬时到账，免费）3功能任意一项1次，即可有机会免费获赠Ipadmini一台！登录www.99fund.com即可参与【汇添富】,zh,gitcode_zh_sms_8a104,1,TRANSACTION,account/order/auth/logistics-result,,,ef70c681598d,
zh_pilot_0014,现在买11选5中奖额外送彩金，单注最高奖金580元，别错过！ http://518.qq.com/p?105,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,866eb37c7448,
zh_pilot_0015,【支付宝】你正在手机支付宝客户端上提现， 验证码：9944。【请勿向任何人提供收到的短信校验码】,zh,gitcode_zh_sms_8a104,0,TRANSACTION,account/order/auth/logistics-result,,,7f77f7a15435,
zh_pilot_0016,"【财付通】363431(微信支付验证码,请勿泄露),您于09:23使用尾号7544的工商银行卡发起交易2200.00元",zh,gitcode_zh_sms_8a104,0,TRANSACTION,account/order/auth/logistics-result,,,d97e166d0482,
zh_pilot_0017,顶级信誉葡京国际娱乐城网址：12991299.com首存赠送30线上游戏有足彩、六合采、时时彩、百家乐、股票等，欢迎阁下光临！,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,edff312cd3ff,
zh_pilot_0018,7.5万加币全家枫叶卡最后时机，2014子女限龄18岁，各省关门改法倒计时！25日周六14点凤凰大厦2栋19楼【瑞得福4008148222】,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,bdbe3c7eb0e0,
zh_pilot_0019,现在买11选5中奖额外送彩金，单注最高奖金580元，别错过！ http://518.qq.com/p?105,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,866eb37c7448,
zh_pilot_0020,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动,zh,gitcode_zh_sms_8a104,1,TRANSACTION,account/order/auth/logistics-result,,,7df64b8e94cb,
zh_pilot_0021,尊敬的客户您好，动感地带客户可以发送“CXMZ”至10086，查询目前M值，此条信息免费。,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,43cc6442848a,
zh_pilot_0022,因急需用钱，现优惠出售定慧小区套房116平方米，单价3600元/平方米，可帮办贷款。联系电话：13961079612,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,68ec854922fb,
zh_pilot_0023,"清华大学高级工商管理研究生进修班，5月24日开学，权威名师授课,学习企业经营致胜宝典，拓展高端人脉关系；报名电话010-56018628",zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,3f58ceaec368,
zh_pilot_0024,团购二环边现房住宅，均价6000元每平，可正常贷款，配套高标准学校，开发商直销垂询热线：18787187126 （欢迎实地看房）【春城慧谷】,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,27bda440db3d,
zh_pilot_0025,你好！有车有房急用钱，找中金，短期周转贷款，当日放款，车辆抵押最快5分钟拿钱，银行抵押贷款2-5天可批贷，咨询：51292222,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,79a41d9863a3,
zh_pilot_0026,蒋哥，您好，我是广州鑫盛新贾荣，座机：020-28085319 qq:78789969密码贾荣 以后请多指教。谢谢！,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,18bf30bd86cc,
zh_pilot_0027,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/14LM3D,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,ca88947f04e5,
zh_pilot_0028,您好！截至到2014年09月04日14时29分，您定制的（1）预存返话费捆绑10元流量包，数据流量剩余49.15MB，本地移动数据流量剩余25.56MB，（2）全球通套餐专属短信包，短信剩余117条，（3）全球通88商旅套餐，语音剩余296分钟，数据流量剩余30.0MB，感谢您的使用。中国移动,zh,gitcode_zh_sms_8a104,0,TRANSACTION,account/order/auth/logistics-result,,,e8326146aee3,
zh_pilot_0029,今天带学员建【300223北京君正】明天早盘拉高抛出，为了公司和客户共同盈利，明天午盘继续建仓个股.合作热线4006898973【鑫光投资】,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,5f3edc0f88e8,
zh_pilot_0030,"承蒙厚爱,全球拍特效摄影5月22日早9:20在中国教育一台《今非昔比》播出，敬请收看.热线01063368666凭短信直降伍仟元【中创华天】",zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,431b61ad226c,
zh_pilot_0031,"富权酒店乡里湘味(原服务大楼)即日起正式营业,为打造大悟百姓厨房,现推出指定酒水免费畅饮活动并有礼相送,电话：7238446【大悟县全通】",zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,1aee3038bb8e,
zh_pilot_0032,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mgR/QdNfv,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,acba29da0882,
zh_pilot_0033,【开心辞典】新交规出台以后，紧跟着爆笑新型红绿灯也出现了哦！想知道长啥样吗？点击如下网址查看 http://wap.139sz.cn/kx/kxyxpic.jsp?phone=&pic=1&id=277,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,dc4e9f260450,
zh_pilot_0034,"瞬间将股票收益提高25!南京最专业最诚信的股票配资:1-5倍放大炒股资金,不参与分红,费用全城最低,联系电话:68563324即刻电联",zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,602085aebba3,
zh_pilot_0035,【潍坊中心】潍坊唯一纯商务楼宇，7000/㎡精装大堂。自由组合，40-570㎡，宜商宜居，火爆预约中！更有两万元购房大礼，热线8180788,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,aca957f2e33f,
zh_pilot_0036,【北京银行】您尾号为6707的京卡于14年12月21日10:00医保转账收入0.02元。活期余额13675.50元。详询95526,zh,gitcode_zh_sms_8a104,0,AD,merchant-promo,,,3b63e12d9c8f,
zh_pilot_0037,联通感恩特惠月，4.29-5.31日到联通营业厅购买海信大屏四核3G手机的用户均可参加每周日的抽奖活动，手机大奖等您拿！询7777777,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,5134f62a9fb5,
zh_pilot_0038,东四环臻品楼王华侨城120-350平现房开盘在即，黄冈中学伊顿幼儿园15年名校教育，尊享欢乐谷VIP，办卡享20万优惠4000092766,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,28a53691b1fb,
zh_pilot_0039,建鑫●金海岸C区：离一中更近一步！22#26#95㎡，看江大三房，24日早9点，全城狂欢大抽奖，人人有机会6315666【建鑫地产】,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,ce0c2905bf17,
zh_pilot_0040,点击链接即可免费下载http://estoresrvice.189store.com//share/143538,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,e2ed9c63a019,
zh_pilot_0041,【合宏奥迪4S店】恭请阁下参加5月18日（本周六晚19:30）【国产Q3灵动之夜上市发布团购会 】，六重好礼送不停。当日订车可参与抽奖，A4、A6还可享“三保计划”。星级认证，信心的保证，江门地区奥迪唯一授权4S店 新会大道东8号 详询6368888,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,3e74399946cb,
zh_pilot_0042,感谢您对热线的支持！请您访问12345.qidong.gov.cn网站，点击“求助查询”，输入诉求号及密码（0659483），查询您的诉求件办理情况。【启东12345热线】[启东12345热线],zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,d9425defa4e6,
zh_pilot_0043,代开发票，点数优惠，可验后付款，有需要请来电18055534369张先生,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,a82409dc78a1,
zh_pilot_0044,"16800元/㎡起，最高优惠20万,抢世界级综合体国际商街【华悦城泡芙街】，即买净赚18，VIP限量认筹30席，预购从速85501888",zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,8f7532f0b4e8,
zh_pilot_0045,联通感恩特惠月，4.29-5.31日到联通营业厅购买海信大屏四核3G手机的用户均可参加每周日的抽奖活动，手机大奖等您拿！询7777777,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,5134f62a9fb5,
zh_pilot_0046,升温！升温！华邦世家继续引爆巢湖市场，二期开盘火爆热卖，五一黄金周精品80-120平户型王房源热献，抢到就赚到！来电有礼82681999,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,939e213832cf,
zh_pilot_0047,抢红包的机会又来了！登录 new.tmall.com，天猫新风尚红包疯抢中，T2/T3会员中奖率翻3倍。春装新品5折起！【天猫】,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,9d43217da482,
zh_pilot_0048,尊敬的罗志远您好，权威内部提供你所需要的6月1~2号的/2/建的考/前资料，可通过后付款，详询QQ 846392482[阳光教育],zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,dbfa6bd0639f,
zh_pilot_0049,《全面绩效考核、薪酬体系设计与劳动用工风险控制实战班》5月23日在清华授课，助力企业打造精英团队！电话:010-82865969【开课通知】,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,8e5ee9bdba10,
zh_pilot_0050,"您好！您套餐内包含的包月增值业务有：一、家庭计划：4、生活好管家(免费)；上述套餐内包含的包月增值业务可单独退订，退订后原有套餐费金额不变；优惠活动订购的增值业务退订规则，以优惠活动规则为准；各业务实际费用信息见账单,发送CXZD+年月（如CXZD201307）至10086即可查询账单信息。回复“业务序号”可取消对应业务，2小时内回复有效，回复免费。中国移动",zh,gitcode_zh_sms_8a104,0,AD,merchant-promo,,,cd325ae6ca68,
zh_pilot_0051,额度紧，贷款难？找平安！平安易贷险助您从银行获取无抵押贷款，月入3000即可，最快1天放款，详询10100000或回复Y【中国平安】,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,938763cab559,
zh_pilot_0052,公司有发票代开，国地税发票，建材，住宿，商业，租赁发票，服务业发票等。电话13662629185钱生。【代发短信18026916611】,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,5dbc31fe960f,
zh_pilot_0053,注意了注意了！南沙区府旁唯一独立商业街龙光“尚街”紧急加推！40-90㎡绝版6米铺王买一用二，醇熟高端社区租售两旺！财富热线39070888,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,85e647637f5a,
zh_pilot_0054,"您个人信用卡01月账单￥14,226.42，$0.00，到期还款日01月28日，点 t.cn/zTWP4j4 查明细办分期[招商银行]",zh,gitcode_zh_sms_8a104,0,AD,merchant-promo,,,b6e351f8cf57,
zh_pilot_0055,您尾号7544卡9日12:57POS支出252元。【工商银行】,zh,gitcode_zh_sms_8a104,0,TRANSACTION,account/order/auth/logistics-result,,,25da9f7e86bd,
zh_pilot_0056,淘宝卖家成都牵手家居赠送您彩票1注，请登录 http://cp.taobao.com 我的彩票 查看中奖情况。 【淘宝网】,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,5da03e68a692,
zh_pilot_0057,5月26日株洲美宝行拉响空“降”警报，总经理限时签售会，全系车型悦享百万钜惠，1.59超低利率。询：073122220000【株洲美宝行】,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,82aaf84648d4,
zh_pilot_0058,澳洲永久产权精装公寓别墅，周四至周日，东方君悦大酒店。澳洲开发商现场说明会，讲解人在北京如何首期10即可拥有。咨询010-51288718,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,0a7f95e61c1f,
zh_pilot_0059,真人真钱斗地主、牛牛、扎金花等火爆游戏尽在中华棋牌网，每天三场游戏比赛奖金5888元，资金兑换5分钟到帐，详情登录www.bf444.com,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,4f32f39f54fa,
zh_pilot_0060,积分余额：2012,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,780b907e8f47,
zh_pilot_0061,"白色情人节约会邦购网！春装硬货低至3.5折，3件再7折；限时购周三重磅呈现。详情请登陆www.banggo.com,回复TD退订!【邦购网】",zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,42e6bee437bd,
zh_pilot_0062,点击链接，即可激活您的淘宝账号，完成注册 http://u.m.taobao.com/r/8jjwrjsnj31.htm【淘宝网】,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,273d751799c1,
zh_pilot_0063,学生如何调整状态赢在期末考！一线教师为你答疑解惑，梳理难点，改善学习方法，20天语数外物化突破高分，另设暑假特色托管！询82191880,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,5bf0c5f36a8e,
zh_pilot_0064,《澳门线上娱乐城》顶级博彩平台真人百家乐.足球.时时彩.彩金天天送，返水1.6，提款三分钟到帐。详情登www.1305678.com查看。,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,d2f9c2ee7086,
zh_pilot_0065,现在买11选5中奖额外送彩金，单注最高奖金580元，别错过！ http://518.qq.com/p?105,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,866eb37c7448,
zh_pilot_0066,"匯豐:本行已根據您的指示更新了您的辦公室電話號碼, 流動電話號碼紀錄。查詢詳情，請致電22333000。",zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,0f4b43d4d4f1,
zh_pilot_0067,您好：我公司有发票可向外代开，如：商业，服务业，建筑业，17增值税等。价格优惠可验证后付款。欢迎来电咨询：13917772893江小姐,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,93cc9cdab3a8,
zh_pilot_0068,30分钟速达国贸!55万起买88-192平南北通透观景户型，超大面宽270度采光，排卡火爆6月开盘，到访抽奖赢精美礼品4000606003,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,77821ad29e42,
zh_pilot_0069,移动微博调查:你最喜欢哪个话题？A黄金价格走势，B戛纳电影节，C毕业季，回复参与抽奖，礼品详情http://139url.cn/9jef6g,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,c2b1778d8ecc,
zh_pilot_0070,您好！截至到2014年04月13日21时52分，您已使用数据流量82.21MB，套餐内剩余流量67.79MB，上网流量不够，您可发送“加油包”到10086，选择更优惠的流量套餐中国移动,zh,gitcode_zh_sms_8a104,0,AD,merchant-promo,,,92b9aaee2e05,
zh_pilot_0071,你好，我是[平安银行]信贷部小罗，做无抵押免担保信用贷款的，1_80W办理简单，放款快18121259703，尽请保留。【善兼】,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,c7fb2bbb95f5,
zh_pilot_0072,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mgR/ThjTE,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,acba29da0882,
zh_pilot_0073,移动微博调查:你最喜欢哪个话题？A黄金价格走势，B戛纳电影节，C毕业季，回复参与抽奖，礼品详情http://139url.cn/9jef6g,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,c2b1778d8ecc,
zh_pilot_0074,本公司长期办理各种发票，联系电话:13810019936,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,edc54cc2fb67,
zh_pilot_0075,【KK娱乐】宋承宪晒与林志玲合影 网友留言调侃称“在一起”       http://ah.kk3g.net/i/1/jOUZ36fI,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,f2b37ec4d586,
zh_pilot_0076,【猎聘网】猎聘秘书台:16:53与您通话的是猎头赵艳铃(ID号:LT1138906)可登录网站查询联系.请您回复短信对此次通话进行评价，1为满意，2为一般，3为不满意。,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,889b5d7bdb73,
zh_pilot_0077,2013最给力的“发短信、夺宝箱”活动开始啦！回复1-5000000之间任一数字即可参与夺宝，笔记本电脑、数码相机、话费等大奖等您挖，每月1000份奖品等您拿，发个短信试试运气吧。回复字母JP或数字0了解奖品清单！无信息费，短信资费按标准资费收取。,zh,gitcode_zh_sms_8a104,1,TRANSACTION,account/order/auth/logistics-result,,,ead90a613b42,
zh_pilot_0078,移动微博调查:你最喜欢哪个话题？A黄金价格走势，B戛纳电影节，C毕业季，回复参与抽奖，礼品详情http://139url.cn/9jef6g,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,c2b1778d8ecc,
zh_pilot_0079,链家办理个人及企业房产抵 押 贷 款，不用款无利息，循环使用，利率百６起，放款快，详情咨询链家金融部于志远１５８１１１２１６６７,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,5f419685e2e0,
zh_pilot_0080,查询余额服务：您的账户余额为0.00元，移动官网充值（ www.10086.cn）优惠便捷。感谢您的使用，中国移动。,zh,gitcode_zh_sms_8a104,0,AD,merchant-promo,,,688dd3525f79,
zh_pilot_0081,"""截至2014年09月28日，您的帐户可用余额为97.40元。",zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,051d142f401b,
zh_pilot_0082,移动微博调查:你最喜欢哪个话题？A黄金价格走势，B戛纳电影节，C毕业季，回复参与抽奖，礼品详情http://139url.cn/9jef6g,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,c2b1778d8ecc,
zh_pilot_0083,截至20日22时04分，您现在正在使用动感地带2G网聊卡19元套餐，您当前月剩余GPRS流量约76MB；您现在正在使用TD单模流量套餐（500M），您当前月剩余GPRS流量约500MB；统计时间延迟24小时左右，以上数据仅供参考，感谢您的使用。免费拨打1008612专线查询更多GPRS业务。中国移动,zh,gitcode_zh_sms_8a104,1,TRANSACTION,account/order/auth/logistics-result,,,80676cd6f78c,
zh_pilot_0084,澳洲房产第一展！永久产权￥30万起，贷款低息仅2！本周六广州丽思卡尔顿酒店2楼，澳籍专家全解澳房发展，详询邦拓国际：400-6381168,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,12043b979ec8,
zh_pilot_0085,长安街东首，15分钟国贸，20分钟机场，180-260平精装官邸！绿城葛洲坝强强联合，尊享希尔顿酒店服务。4006225778【京杭府】,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,a9c585c71868,
zh_pilot_0086,姜燕北先生个人卡额度不足交易失败，最高可调临时额度至80000元，2014年10月12日12点17分前回#TLEY申请，短信回复为准。巧用额度理财，猛戳 t.cn/8FdmPg8 查询[招商银行],zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,d07edba5e3c7,
zh_pilot_0087,您尾号4842的信用卡09日18:16网上交易人民币6.00元。iPhone6免费抢！ t.cn/R7HfMHK 。[招商银行],zh,gitcode_zh_sms_8a104,0,TRANSACTION,account/order/auth/logistics-result,,,b1b6262c2620,
zh_pilot_0088,现在买11选5中奖额外送彩金，单注最高奖金580元，别错过！ http://518.qq.com/p?105,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,866eb37c7448,
zh_pilot_0089,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动,zh,gitcode_zh_sms_8a104,1,TRANSACTION,account/order/auth/logistics-result,,,7df64b8e94cb,
zh_pilot_0090,尊敬的客户，您开通的社区经典业务，信息费10.00元，服务提供商深圳市腾讯计算机系统有限公司，服务代码10661700。如果该业务是随服务包或套餐包赠送开通，则免收信息费。,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,16c988c11276,
zh_pilot_0091,有人富贵有人平凡，想知道你命里有几座金山？想看你今年是否命犯桃花？回21加8位出生日期（如2119810527）生活娱乐为您探知蛇年开运法2,zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,115755ed5b22,
zh_pilot_0092,"【凤凰汽车i询价】标致308 2013款 1.6L 自动优尚型(指导价11.59万元),近期铜仁地区暂无优惠.【凤凰汽车】",zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,cd4f61766127,
zh_pilot_0093,移动微博调查:你最喜欢哪个话题？A黄金价格走势，B戛纳电影节，C毕业季，回复参与抽奖，礼品详情http://139url.cn/9jef6g,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,c2b1778d8ecc,
zh_pilot_0094,亲爱的用户，今天下午3点，将举行小米手机剩余订单专场，欢迎届时访问小米网xiaomi.com购买。【小米】,zh,gitcode_zh_sms_8a104,1,TRANSACTION,account/order/auth/logistics-result,,,f99faeeffb23,
zh_pilot_0095,专业办理房产抵押贷款，最高可贷8成。抵押房也可再贷款。个人及企业无抵押贷款（3天放款）全程银行操作！咨询58600870【百恩克贷款】,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,0c3b310d81cc,
zh_pilot_0096,您好，专业提供短信群发，106全网网关直连通道，70字无签名，【活动促销】【商业推广】【贷款】【房产】【教育】均可大量发送。短信找客户，方便又快捷。详询Q:2622500175或电：18924264845张先生,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,7fc3f51329e3,
zh_pilot_0097,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/10DqLf,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,ca88947f04e5,
zh_pilot_0098,"急用钱吗，有房产/轿车短期借款当日放款。银行借款3-5日批贷，已有银行借款房屋还可贷房屋评估值的100,办大额信用K,详询51291111",zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,f274ee3b9e11,
zh_pilot_0099,名师一对一，针对期末考试进行知识系统梳理，抓重点攻考点，提高学习效率，快速提升孩子成绩！详询4000878322【乐恩特教育】,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,e86427968a5b,
zh_pilot_0100,查询余额服务：您总账户余额为71.16元。详情为：主账户余额71.16元，副账户余额0.00元。感谢您的使用，中国移动。,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,3d5017fc72db,
zh_pilot_0101,海王星辰顺义店5月11-12日凭短信购物送U品牙膏1支，购物满38抽奖，满98送洗衣棒，满198送抽纸，满298送卷纸，多买多赠[海王星辰],zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,6353e6a097ee,
zh_pilot_0102,"我公司今带客户15.7元重仓买入300223北京君正,明天必爆涨,重点关注,切勿追高!合作熱線:020-29122903【广发投资公司】",zh,gitcode_zh_sms_8a104,1,NEEDS_REVIEW,spam-unclear,,,a6cfe1c1433b,
zh_pilot_0103,58元300分钟语音套餐（4G）：58.00元,zh,gitcode_zh_sms_8a104,0,NEEDS_REVIEW,normal-unclear,,,09f5728fae42,
zh_pilot_0104,探秘中国唯一核武器生产单位[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mf2/91y0f,zh,gitcode_zh_sms_8a104,1,AD,spam-link-promo-candidate,,,f2f5d251f5a9,
zh_pilot_0105,专业办理房产抵押贷款，最高可贷8成。抵押房也可再贷款。个人及企业无抵押贷款（3天放款）全程银行操作！咨询58600870【百恩克贷款】,zh,gitcode_zh_sms_8a104,1,HARASS,collection/gray/adult/gambling,,,0c3b310d81cc,
zh_pilot_0106,5月19全国助残日，酒泉丽声助听器举办大型优惠活动，活动日期5月18-31日，“零噪音”听的更清晰，咨询热线09372671168【丽声】,zh,gitcode_zh_sms_8a104,1,AD,merchant-promo,,,447cf06f552e,
zh_pilot_0107,回复任意数字，仅需6积分/M值，即可兑换500元的大润发购物券抽奖，共10个中奖名额！未中奖用户也可得佐藤家日本料理50元抵用券1张！您可登录http://tuan.12580777.com 查看详情！【12580商户联盟】,zh,gitcode_zh_sms_8a104,1,FRAUD,fraud-intent-keywords,,,cabc2cfa2de7,
