id,text,language,source,uci_binary,suggested_label,suggest_reason,label,annotator,template_group,notes
uci_pilot_0011,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,a3e18a015be0,
uci_pilot_0012,"""CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.""",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,d10f6970699f,
uci_pilot_0013,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,c3c627cb5f69,
uci_pilot_0014,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,97c90bf3669f,
uci_pilot_0015,i want to grasp your pretty booty :),en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,009034f7d254,
uci_pilot_0016,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,9d8d4365ebc1,
uci_pilot_0017,Omg it could snow here tonite!,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,58de4395f3d8,
uci_pilot_0018,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt,en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,spam-unclear-subtype,,,29d3faf35d22,
uci_pilot_0019,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,1e8cbf4659b4,
uci_pilot_0020,R u over scratching it?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,0ebf29aa07cb,
uci_pilot_0021,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,33de1040600c,
uci_pilot_0022,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,b18a6296eb21,
uci_pilot_0023,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k",en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,spam-unclear-subtype,,,3c85e7e6d6e1,
uci_pilot_0024,K...k:)why cant you come here and search job:),en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,77e3c3e04a3b,
uci_pilot_0025,"Aight that'll work, thanks",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,4dc71d5507c6,
uci_pilot_0026,XMAS iscoming & ur awarded either £500 CD gift vouchers & free entry 2 r £100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,080da5a53ce3,
uci_pilot_0027,"K give me a sec, breaking a  &lt;#&gt;  at cstore",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,7e7de4abb4b0,
uci_pilot_0028,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,29a6c0e35ef9,
uci_pilot_0029,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,6094ceb44934,
uci_pilot_0030,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,bd86a6d87cbc,
uci_pilot_0031,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,1b2115e57547,
uci_pilot_0032,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,d09ca81770e3,
uci_pilot_0033,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,a8a22fda6cdc,
uci_pilot_0034,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,a4f8401436f5,
uci_pilot_0035,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-social-engineering-pattern,,,c772ba1a73b9,
uci_pilot_0036,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+",en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,4b833d649e94,
uci_pilot_0037,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,c81e5eb8f67b,
uci_pilot_0038,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,8043ee66f6de,
uci_pilot_0039,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,e9ec92d192eb,
uci_pilot_0040,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,c1800e3c4b55,
uci_pilot_0041,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,1b1f631f7dc5,
uci_pilot_0042,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,21f77b7483a7,
uci_pilot_0043,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,cc780a50040b,
uci_pilot_0044,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,5bf5bbf316a2,
uci_pilot_0045,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,ea9b58e55d9b,
uci_pilot_0046,"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,3b7269f78f9b,
uci_pilot_0047,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,29acef880ffe,
uci_pilot_0048,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,5714ae640462,
uci_pilot_0049,URGENT We are trying to contact you Last weekends draw shows u have won a £1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,b7acb67e30ce,
uci_pilot_0050,Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,2885dae1c7bf,
uci_pilot_0051,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,47e18e33c678,
uci_pilot_0052,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,227a8e0fcbad,
uci_pilot_0053,LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,6d3d20e7bbbe,
uci_pilot_0054,Oh k :)why you got job then whats up?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,f7d563ca702d,
uci_pilot_0055,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-social-engineering-pattern,,,9679e7f5547e,
uci_pilot_0056,Rats. Hey did u ever vote for the next themes?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,e0a443a4bca7,
uci_pilot_0057,Great News! Call FREEFONE 08006344447 to claim your guaranteed £1000 CASH or £2000 gift. Speak to a live operator NOW!,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,81b27e33a6a7,
uci_pilot_0058,Aiyah ok wat as long as got improve can already wat...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,98e362fd099f,
uci_pilot_0059,U are subscribed to the best Mobile Content Service in the UK for £3 per ten days until you send STOP to 83435. Helpline 08706091795.,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,7f643c314006,
uci_pilot_0060,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,f35bd9309747,
uci_pilot_0061,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,a226a9482d35,
uci_pilot_0062,Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,7c0e27e39727,
uci_pilot_0063,Does uncle timi help in clearing cars,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,7833f3908253,
uci_pilot_0064,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,ff097ea98adb,
uci_pilot_0065,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,afc7bce3d9fc,
uci_pilot_0066,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,623eac4f124a,
uci_pilot_0067,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,57509be1e809,
uci_pilot_0068,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,bd0d37c31da4,
uci_pilot_0069,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,7eaac6f6c399,
uci_pilot_0070,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,36ffd1c7776a,
uci_pilot_0071,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,617b108c87d1,
uci_pilot_0072,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,spam-unclear-subtype,,,a69268ca5044,
uci_pilot_0073,You still at the game?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,1d8ff488645f,
uci_pilot_0074,URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,5e21faa9d2c0,
uci_pilot_0075,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,981d29b42d75,
uci_pilot_0076,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,b2e0bac924aa,
uci_pilot_0077,How much she payed. Suganya.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,62a52d6da2e3,
uci_pilot_0078,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,d343e709b342,
uci_pilot_0079,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,d5112ac077e3,
uci_pilot_0080,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,a031e53b406b,
uci_pilot_0081,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-social-engineering-pattern,,,6be06fb7c32b,
uci_pilot_0082,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,721b752ca6a9,
uci_pilot_0083,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,68248d71dcc0,
uci_pilot_0084,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,69b66f417552,
uci_pilot_0085,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,7d4b345bc43e,
uci_pilot_0086,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,2d178ddb7855,
uci_pilot_0087,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,c55c80147357,
uci_pilot_0088,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,a0f511a88229,
uci_pilot_0089,THIS IS A LONG FUCKIN SHOWR,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,b82f77b3ec2c,
uci_pilot_0090,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-social-engineering-pattern,,,7e959529ca51,
uci_pilot_0091,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-social-engineering-pattern,,,51542efe4033,
uci_pilot_0092,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,e5e2fcee515c,
uci_pilot_0093,I donno if they are scorable,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,b53e9079368a,
uci_pilot_0094,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,80204a8f2287,
uci_pilot_0095,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,9218142da262,
uci_pilot_0096,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,c37fca126329,
uci_pilot_0097,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,78bb4d0d557f,
uci_pilot_0098,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,03bfa31cd909,
uci_pilot_0099,"You aren't coming home between class, right? I need to work out and shower!",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,1b4933cfc144,
uci_pilot_0100,"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,b04432404257,
uci_pilot_0101,Studying. But i.ll be free next weekend.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,aac244e621f8,
uci_pilot_0102,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,fabe2760eace,
uci_pilot_0103,Yo come over carlos will be here soon,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,b247aa3f7cdc,
uci_pilot_0104,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,57c1df1729dc,
uci_pilot_0105,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE",en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,7d5d0e3cb160,
uci_pilot_0106,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,69d497104ce1,
uci_pilot_0107,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,482945886ded,
uci_pilot_0108,"Great. I'm in church now, will holla when i get out",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,ham-personal-or-unclear,,,bdc273f43801,
uci_pilot_0109,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,a9108aef8c30,
uci_pilot_0110,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",en,uci_sms_spam_collection_v1,spam,FRAUD,fraud-intent-keywords,,,3df1fbcd4b6b,
uci_pilot_0111,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl,en,uci_sms_spam_collection_v1,spam,HARASS,adult-dating-debt-harass,,,d09ca81770e3,
uci_pilot_0112,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,2ed5153215c1,
uci_pilot_0113,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,spam-unclear-subtype,,,cc589928ff20,
uci_pilot_0114,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX,en,uci_sms_spam_collection_v1,ham,HARASS,adult-dating-debt-harass,,,d30e51316370,
uci_pilot_0115,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,aa6917d988ae,
uci_pilot_0116,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,en,uci_sms_spam_collection_v1,ham,TRANSACTION,account/order/auth/logistics-result,,,3a489ce8a99a,
uci_pilot_0117,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,a3bf08f840d3,
uci_pilot_0118,This message is brought to you by GMW Ltd. and is not connected to the,en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,spam-unclear-subtype,,,8e13a3f9c5f7,
uci_pilot_0119,85233 FREE>Ringtone!Reply REAL,en,uci_sms_spam_collection_v1,spam,AD,merchant-or-subscription-promo,,,7bdd4ac039b6,
uci_pilot_0120,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,en,uci_sms_spam_collection_v1,spam,AD,spam-link-promo-candidate,,,90ab2e36945a,
