id,text,language,source,binary_label,suggest_reason,label,annotator,template_group,notes
zh_00023,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgw/QPMsw,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,NEEDS_REVIEW,,ca88947f04e5,冲浪助手新闻推送
zh_00025,【比邻】比邻验证码：687293，请尽快输入比邻完成验证，随机号：72。,zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,17e7764f5981,比邻验证码
zh_00028,运河苑温泉度假村淡季团队会议优惠价格现已全面推出，更有培训会议大包干（住宿+会议+用餐）。优惠不断，好事连连。张经理：13911268400,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,1d57a443b971,温泉度假村会议+住宿套餐促销
zh_00029,六.一曲江演出携手莱安集团邀您共享亲子时光：中国杂技团＂金小丑＂奖杂技剧《金小丑的梦》6月1日2日曲江国际会议中心，抢票热线81545309,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,9bd3300b8c0c,演出票务推广
zh_00030,"【招行北京金卡秘书】:热销理财300453号,预期年率5.3%,期限167天,每人限购5万,6号起售,售完即止,详询网点或95555.[回@5TD退订短信][招商银行]",zh,gitcode_zh_sms_8a104,0,merchant-promo,AD,,398b2d1e43b9,招行理财产品推销
zh_00031,您好！截至到2014年09月07日14时55分，您已使用数据流量67.2MB，套餐内剩余流量82.81MB，其中：国内通用流量剩余79.15MB，本地流量剩余3.66MB，感谢您使用流量查询服务。中国移动,zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,92b9aaee2e05,流量余量提醒
zh_00032,聚焦17-19日，节能补贴倒计时，TCL千店联动抢王牌，国家补贴+厂家补贴+订金翻番，击穿价格底线，全面接受预订，询2025851【TCL】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,e973a13e3804,TCL千店联动+节能补贴促销
zh_00033,5万抵20万限量预约！京西唯一浅山175-300平环景大宅，首发在即！【V7西园】浅山生活，邀您品鉴4006235965,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,8aba363bf7d8,楼盘预约+5万抵20万促销
zh_00034,王兰庄5月续保商业险最低可至7折力返15-20，送前4次三千元以下单方事故免现场报案定损，手续代办23019772、9321【海马汽车】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,9fd25d9e0a86,车险续保+最低7折促销
zh_00036,惊喜钜惠85折！80万，干脆买别墅！【碧桂园凰城】150-300平成品美墅开盘倒计时，五星酒店体验入住，更有水上高尔夫84738888,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,3e5f61cb86fc,碧桂园别墅85折促销
zh_00037,【联通热门应用推荐】疯狂斗地主(赢奖)――网络真人对战斗地主，体验秒杀对方的快感！免费下载:http://wostore.cn/I3IRFn,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,AD,,036d47b605e6,联通官方应用推荐+赢奖活动
zh_00038,在线听歌、神曲下载、订购彩铃，还有什么爱音乐客户端不能满足？最好声音尽在爱音乐！http://189.3gbc.cn/d?a=az51901,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,AD,,cd9b54a60f58,爱音乐业务推广订购彩铃
zh_00039,【东莞愈兴事务所】工商注册、香港公司、记账报税、各项审计报告。咨询热线：15989905675，0769-33272362！生意兴隆！,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,43869c4c4c29,工商注册/财税服务推广
zh_00040,房产汽车抵押贷款，注册资金增资垫资，企业个人过桥转贷，信用卡还款，代办银行贷款，利息低，出款快，闲钱托管！8876899【万泰投资】,zh,gitcode_zh_sms_8a104,1,spam-unclear,HARASS,,6a0048df968a,强行推销贷款/垫资/过桥转贷
zh_00041,3万㎡公园首排，宏瑞星城22#景观楼王压轴巨献，11层纯板楼，一梯两户，16.5超低公摊，121㎡舒适华宅82万起热销88956666,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,c8cbe62601b1,楼盘促销
zh_00042,信达证券将于5月20日-24日发行信达创利1号，认购起点5万，一年期。预计年化收益率5.2。额度有限，正在热销中。详情咨询：3130128  3130169【信达证券】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,5cab19786fce,券商理财产品发行推广
zh_00043,郑州利星奔驰全新A级车新车发布会携同惊世座驾E300L豪华型“你开车我加油”团购火热进行中，18日三仟订金可直接抵贰万元油卡，19日三仟订金抵壹万元油卡详询郑文达13633842555【圃田奔驰广场】,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,6eb9f2c63387,奔驰团购+订金抵油卡促销
zh_00044,十五小旁天山路与独山大道交会处精装写字楼，4270元/平起【华鑫国贸】24—26日3D玩偶秀上演63028599/88/66【万家园地产】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,4174a6dd9be6,写字楼地产促销
zh_00046,【无限棋牌】金币狂潮再次来袭！每日首次登陆免费送金币。更有智能手机免费抢！http://mbox.i139.cn/wxqphd,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,HARASS,,28197514e929,棋牌类游戏+免费送金币+智能手机诱导
zh_00047,亲爱的业主，哥本哈根地下车位可以分期了，首付仅需39900。详情咨询农行客户经理罗嵩电话15566168857【哥本哈根】,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,0f50bbd6dd02,地下车位分期+首付39900促销
zh_00048,美媒曝光中国地下空军:不可战胜[搜狐]-中国移动冲浪助手:http://go.10086.cn/nd/mgp/11u7Ur,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,NEEDS_REVIEW,,ca88947f04e5,冲浪助手新闻推送
zh_00049,沪深A股双向交易平台可买涨、买跌当天随时买进卖出，获利提速，资金杠杆100倍，入金即送8！详情登入700999.com查看,zh,gitcode_zh_sms_8a104,1,spam-unclear,FRAUD,,b6355e343022,虚假股票交易平台+100倍杠杆+入金送礼
zh_00050,贺昨日客户建的【万泽股份】高开大涨6！庆五一公司现对散户作出巨大优惠，限前30名散户！建仓专线：4000866895【鼎兴基金】,zh,gitcode_zh_sms_8a104,1,merchant-promo,HARASS,,34eb78909412,冒充基金公司带客炒股+承诺收益+限名额
zh_00051,看万达豪宅，赢豪华大礼！凡5月18日至19日至万达公馆售楼处并参观奢装样板房，即可参加整点抽奖，现场还可品美食！询28688888【万达】,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,43859d7de88e,万达公馆看房+抽奖+品美食促销
zh_00052,钻石优惠券限时送，最后两天，点击即领。http://jiayuan.cn/rmznqr .【世纪佳缘】,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,d436d76c4016,世纪佳缘优惠券推广
zh_00053,【京东】尊敬的客户，我们已为您的服务单138592261安排上门换新服务。新订单5001972495，请您准备好全套商品及包装，配送人员将在3日内携带新品上门为您更换。,zh,gitcode_zh_sms_8a104,0,normal-unclear,TRANSACTION,,4ccc738de7dc,京东上门换新服务安排通知
zh_00054,南京华美整形美容医院5月优惠季4月25日正式启动！全场低至5折！36天与您疯狂塑美！中韩顶级专家任您钦点！咨询02583336888（手机报,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,a2363cbd4dfb,整形医院+5折优惠促销
zh_00055,无线城市送大礼！自12月10日起，推荐好友注册无线城市，即有机会获得百元话费，还在等什么，快来看一看吧！http://wap.wxhn.cn/zhengzhou,zh,gitcode_zh_sms_8a104,1,account/order/auth/logistics-result,AD,,da0266a80049,无线城市拉新+百元话费活动
zh_00056,"""尊敬的全球通客户，您2014年08月份话费122.19元，其中：",zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,c5f5873741af,话费账单通知
zh_00057,杨经理18324148680【提】【验】【供】【后】【税】【付】【票】【款】,zh,gitcode_zh_sms_8a104,1,spam-unclear,HARASS,,83d366696f16,代开发票灰产招揽
zh_00058,尊敬的客户，您的报价单已发至填写邮箱，官网精准报价+惊喜大礼等您回来领取：chexian.taobao.com【中国平安】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,b28566989aa7,保险报价单+惊喜大礼促销
zh_00060,亲爱的常常思念，您购买的第2013057期双色球已中奖，奖金为10.00元。请登录财付通彩票查看详情。【财付通】,zh,gitcode_zh_sms_8a104,1,fraud-intent-keywords,TRANSACTION,,ac3947d22869,彩票中奖通知
zh_00061,温馨提示:截至10月18日14时，您当月套餐内语音通话分钟数已使用45分钟，剩余5分钟，超出部分将按0.2元/分钟收费。登录联通网上营业厅www.10010.com，查询、交费、充值、方便又实惠!,zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,5469447a664a,套餐语音余量提醒
zh_00062,通货膨胀咋办？手上有钱怕缩水？增值保值好渠道绿地峰创国际纯沿街商铺，9000元/平起花住宅的钱买商铺，仅30席，周末开盘87777888,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,d61a308bd145,绿地商铺+9000元/平起促销
zh_00063,花园大过一套房，赠送给您怎么样？大合仓·商馆外双楠最赚钱双地铁写字楼.一期升值超34.户户送花园最大90㎡.询85046655【大合仓】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,fc879209d020,写字楼/商铺促销
zh_00064,有假赔您28万，最后机会！清盘三十套，总价23.8万—26.6万！三室两厅！临河 临公园 临中庭！阳光传世风景38167777【现代房产】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,06c9d006f138,现代房产+清盘三十套+23.8-26.6万+38167777
zh_00065,戈:这个谁能修改啊【发自飞信】,zh,gitcode_zh_sms_8a104,0,normal-unclear,NEEDS_REVIEW,,9fdddf2536ae,飞信私人聊天，非目标域
zh_00066,浦东16号线宽景四房，首付68万元即可入住！绿地皇家官邸，高达70米栋距和7米面宽大客厅，给您全家最舒适的生活空间68050880,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,2c206d252fa5,浦东16号线+宽景四房+68万首付+68050880
zh_00067,"4.8折起，Travelzoo旅游族独家特供嗨友会3款五星酒店两日游特惠套餐，仅售两周，详情登录club.1hai.cn,咨询电话4008886757【一嗨租车】",zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,7c986df5598b,Travelzoo+4.8折+五星酒店+4008886757
zh_00068,交费提醒：截至3月底，您应交纳话费为187.95元。推荐您登录移动官网交费充值（www.10086.cn），便捷安全，支持网银、支付宝、财付通等，更有超值折扣优惠。您也可拨打10086输入银行卡号、密码在线快捷交费。我们一直在努力，只为您的“10分”满意。,zh,gitcode_zh_sms_8a104,0,merchant-promo,TRANSACTION,,d563d8984f68,话费交费提醒+187.95元
zh_00070,李玲化妆品店联合花之韵品牌百万豪礼大放送！凡18-48岁女性凭本人身份证5月13一17日免费领取220ml采芝沐浴盐一瓶3756222,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,a3d97123ce39,李玲化妆品+免费领取+3756222
zh_00072,"【搜狐】您的用户名13811168809@sohu.com,密码:02295307。保护账号安全请用狐盾：http://t.cn/8kthjRI【搜狐】",zh,gitcode_zh_sms_8a104,0,normal-unclear,FRAUD,,955d64626102,搜狐+用户名+密码+狐盾链接，疑似钓鱼盗号
zh_00073,您尾号2511的信用卡09月份账单应还人民币3197.09，请于09月21日前还款。温馨提示：还款日前一日回FQ加卡末４位将账单中人民币2877.38元分6期，总手续费138.11元。成功后本期仅需还人民币319.71元，办其他期数点击 t.cn/RvH2Ph4 。-中信信用卡,zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,475844acbe1b,中信信用卡账单还款通知
zh_00074,"殷小红(15339351315):给您分享一款全球最火爆的消除游戏《贝壳拾趣》, 请您直接点击下载并安装:  http://e.189gs.com/6q8U50",zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,HARASS,,fcd2488238ba,私人分享游戏+诱导下载+http://e.189gs.com
zh_00075,您好！赴瑞士享受羊胎素疗养之旅，修复衰老肌体，让您感受返老还童的全新生活体验。名额有限，6月15日发团。预订电话：4008201468,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,efb2d8a206f0,瑞士疗养之旅+4008201468
zh_00076,null现在淘宝评价也能赚钱了，在给卖家评价的时候只需加入推广语即可得到高佣金，快来赚钱吧详情进入www.pingjiaw.com！ 【鸿利电子商务】,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,HARASS,,19cae83fca5a,淘宝评价赚钱+诱导+www.pingjiaw.com
zh_00077,订单号E796000104，陈先生您已购09月06日D33次04车05D号北京14:52开。请尽快换取纸质车票。【铁路客服】,zh,gitcode_zh_sms_8a104,0,normal-unclear,TRANSACTION,,7a6e212bd1a6,铁路客服火车票订单确认
zh_00078,现在买11选5中奖额外送彩金，单注最高奖金580元，别错过！ http://518.qq.com/p?105,zh,gitcode_zh_sms_8a104,1,fraud-intent-keywords,HARASS,,866eb37c7448,11选5+中奖送彩金+518.qq.com，博彩
zh_00079,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mh5/wRNLv,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,NEEDS_REVIEW,,acba29da0882,冲浪助手新闻推送
zh_00080,红树叶俱乐部隆重推出客户端，一键下载到手机，精彩无限，好礼连连。点击网址一键下载:http://t.cn/zTM8cuh 【红树叶俱乐部】,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,AD,,7b198a9e5676,红树叶俱乐部+客户端下载
zh_00082,你知道成都的立方商铺吗？投资十余万年收三、四万！【电商方格铺】轻松分享万亿级电商行业利润！一铺抵三铺！租金成倍翻02885220606,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,55e48226f28a,电商方格铺+投资十余万+02885220606
zh_00083,人生三大事，房子车子和铺子！闽南最大室内主题乐园，携手刘谦，打造中国迪士尼。独立街铺88万起【世茂御龙湾】68222222【世茂地产】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,379f24913507,世茂御龙湾+88万起+68222222
zh_00084,工行融e购商城黄金玖月邀您见证奇迹！玖月奇迹2014北京演唱会票价专享95折，更有限量亲笔签名、海报、钥匙扣等您拿！更多优惠惊喜，尽在融e购！详见：mall.icbc.com.cn 【工商银行】,zh,gitcode_zh_sms_8a104,0,merchant-promo,AD,,b50292be1342,工行融e购+玖月+95折+mall.icbc.com.cn
zh_00085,欢迎您使用招商银行网上银行自助额度调整功能，您的临时额度调整验证码为：140918。请勿将验证码告知他人！[招商银行],zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,4c318a87ec87,招行网银验证码
zh_00087,拥东城商铺等收租不用博。东莞最旺世博商圈唯一在售，聚海雅等6大百货、3大电器、酒吧街步行街。日均30万人财位低至1.5万/方23139936,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,cd2db7022405,东莞世博商圈+1.5万/方+23139936
zh_00089,信用卡1984于5月15日13:43消费人民币297.50元。可加“浦发银行信用卡中心”官方微信查询。【浦发银行】,zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,ba03bdd412ed,浦发信用卡消费通知
zh_00090,"路痴不可怕，就怕没地图，高德地图，精确定位，快速导航，秒杀一切路痴，找银行、找饭店，so easy,一键在手，走遍全球，下载地址：  http://ah-3g.cn/cp.jsp?id=6404",zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,AD,,da6443284743,高德地图+下载推广
zh_00091,今日主力资金以15元建仓超短线金股《300223北京君正》明天将强势拉升，实力见证！切勿追高！详询：0731-88299550〈阳光私募〉,zh,gitcode_zh_sms_8a104,1,merchant-promo,HARASS,,7fbeed58d670,阳光私募+建仓300223+强势拉升+0731-88299550
zh_00092,金河·星座南城核心！县实验小学北邻，24小时热水、地暖、中央软水处理系统，只为幸福生活保驾护航。凡到访均送礼品！询8539997【金河置业】,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,8145476aadd9,金河星座+8539997
zh_00093,“流量星人大比拼”活动开始啦！即日起至5月31日，使用流量来赢取流量星人称号，更有机会获得千元话费！还等什么，快来参加！       http://ah.kk3g.net/i/1/PUTCeaZf,zh,gitcode_zh_sms_8a104,1,account/order/auth/logistics-result,AD,,bc0c54be1839,联通流量活动+千元话费+http://ah.kk3g.net
zh_00094,今带学员建【300223北京君正】明拉 升绝对精彩必涨5以上！现广泛招收散户与庄共舞！报名预约明牛股电020-29126488【锦鸿理财】,zh,gitcode_zh_sms_8a104,1,merchant-promo,HARASS,,68f901820536,锦鸿理财+带学员建300223+020-29126488
zh_00095,庆祝滴滴融资7亿美元，送您10元出租车券，当日有效。滴滴打车成功率超90%，我们承诺，12月12日打不到车就给钱哦！退订回复TD【滴滴打车】,zh,gitcode_zh_sms_8a104,0,normal-unclear,AD,,d61194ff9cc4,滴滴+10元出租车券+当日有效
zh_00096,尊敬的会员：橡果十五周年感恩回馈200元代金券，致电4006601177领取智能手机、熊猫银币、空调被四件套、男士商务礼盒等好礼【橡果国际】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,4c8f162b0524,橡果国际+200元代金券+4006601177
zh_00097,520！DHC倾情献礼：通信满720元赠橄榄蜂蜜皂+时尚小家电+纯棉毛巾（总价值427元）仅2天，详询官网或4008208820【蝶翠诗】,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,eb5e1c387e9a,DHC+520+720元赠+4008208820
zh_00098,在线听歌、神曲下载、订购彩铃，还有什么爱音乐客户端不能满足？最好声音尽在爱音乐！http://189.3gbc.cn/d?a=az51901,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,AD,,cd9b54a60f58,爱音乐业务推广订购彩铃
zh_00099,【天上掉下个Iphone5！】通信助手的众亲们，回对应数字设置优先接收的回执精品资讯：2、健康；4体育；6娱乐。成功设置可参与次月Iphone5和1000元话费抽奖。您还可登录 http://v1x.cn/V2X 设置，访问产生的流量费按标准收费。中国移动,zh,gitcode_zh_sms_8a104,1,account/order/auth/logistics-result,FRAUD,,7df64b8e94cb,假冒移动官方+iPhone5抽奖+http://v1x.cn/V2X
zh_00102,市中心商业核心地段，30-180平万达金街开盘在即，5万最高可抵20万，认筹钜惠即将截止！现虞河金街样板段对外开放欢迎来访！8099888,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,6eeed8aa6257,万达金街+5万抵20万+8099888
zh_00103,揽海岛风情，享假日阳光！海南华亚海岛假日，精装50-108平百变户型6500元/平起，畅享高铁便捷度假4000285693【华亚集团】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,b3411fbc3772,海南华亚+6500元/平+4000285693
zh_00104,【浦发信用卡中心】6-7月持浦发信用卡消费满额分期最高可享2期手续费减免。网银、微信、手机银行办理更便捷！请详询官网。回复TD退订,zh,gitcode_zh_sms_8a104,0,merchant-promo,AD,,a9835a68dd9b,浦发信用卡+分期手续费减免
zh_00105,相亲网，用户ID:32783047，男，已给您发送秋波，请及时把握您的缘分！婚恋热线 4000520019[相亲网],zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,51f89b904a6e,相亲网+4000520019
zh_00106,套餐门限提醒：截至14年10月19日13时18分，您套餐内包含的国内长市漫合一通话时长已使用270分钟，剩余30分钟。以上内容供参考，具体以月结账单为准。如需退订该提醒服务，请发送QXTCMX至10086。中国移动,zh,gitcode_zh_sms_8a104,0,account/order/auth/logistics-result,TRANSACTION,,b8b7c377f076,移动套餐语音门限提醒
zh_00107,六.一曲江演出携手莱安集团邀您共享亲子时光：中国杂技团＂金小丑＂奖杂技剧《金小丑的梦》6月1日2日曲江国际会议中心，抢票热线81545309,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,9bd3300b8c0c,演出票务推广
zh_00108,【易方达】尊敬的姜燕北，股民的余额理财，可交易的159001！易方达保证金货币基金无论买入或申购，当日均可卖出或赎回。投资者申购新股前，可卖出或赎回159001，资金马上可打新；新股资金解冻后，可买入或申购159001追求增值！基金有风险，详询4008818088。,zh,gitcode_zh_sms_8a104,0,social-engineering-pattern,AD,,f2680137fd7a,易方达+159001+余额理财+4008818088
zh_00109,"夺金时刻！青白江凤凰城""掘金行动""机会来临，看房买房送金现限时开启，首期品牌体验特价购置院墅洋 房最后机会，坐享千亿级项目发展红利，争藏城央绝对稀缺贵重资产，荣享至尚高端生活模式，一期30套保留院墅掘金价最后机会。83672222【凤凰快讯】",zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,89b2fa24f906,凤凰城+送金+83672222
zh_00110,纸袋碰腿北京2孕妇地铁内互殴[人民]-中国移动冲浪助手:http://go.10086.cn/nd/mha/O4ynn,zh,gitcode_zh_sms_8a104,1,spam-link-promo-candidate,NEEDS_REVIEW,,acba29da0882,冲浪助手新闻推送
zh_00111,7.5万加币全家枫叶卡，2014子女限龄18岁，各省改法倒计时！25日周六14点凤凰大厦2栋19楼【瑞得福4008148222】【天翼时代】,zh,gitcode_zh_sms_8a104,1,spam-unclear,HARASS,,399b360bcb99,瑞得福+7.5万加币+枫叶卡+4008148222
zh_00112,"以上天气信息供您参考，如需其他帮助请回复?""""。""",zh,gitcode_zh_sms_8a104,0,normal-unclear,NEEDS_REVIEW,,f0c62da4c884,天气查询服务通知
zh_00114,市场综述：上周沪指带量突破2250点，确认做多！新荐的金洲管道和四川路桥，立即获利！短线淘金：600692亚通股份，000632三木集团，组合买入，-10止损。加入博弈团队VIP服务，荐股将更精选！咨询22213086。安赢-博弈团队（仅供参考）【安信证券】,zh,gitcode_zh_sms_8a104,1,spam-unclear,HARASS,,a714e3a722d9,安信证券+带客炒股+22213086
zh_00116,《全面绩效考核、薪酬体系设计与劳动用工风险控制实战班》5月23日在清华授课，助力企业打造精英团队！电话:010-82865969【开课通知】,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,8e5ee9bdba10,清华+绩效考核+薪酬设计+010-82865969
zh_00117,移动五月大特惠，手机大团购，价格优惠还送话费，三星S7568：1000元；三星9268：2650元；三星I9228：3350元；三星N7108：4409元；三星I9308：3650元；HTC329T：1450元；HTC8X(C620t )：2700元；诺基亚920T：3563元；摩托罗拉MT788：1900元。如需办理联系移动程经理13576108690,zh,gitcode_zh_sms_8a104,1,merchant-promo,AD,,c2b75614c59e,移动+手机团购+送话费+13576108690
zh_00118,5.22中国好声音空降东二环【当代MOMA历峰】邀您共同见证“想你的夜”200-500平典藏家业大宅，献给影响中国的圈子4000303025,zh,gitcode_zh_sms_8a104,1,spam-unclear,AD,,12e62e49b69c,当代MOMA+200-500平+4000303025
