id,text,language,source,orig_label,label,annotator,template_group,notes,reason
iiitd_00010,"In which condition, men start sweating in 10 mins & women want to go ON & ON & ON? Think.. Think..  SHOPPING :-D God bless ur naughty mind..!",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,a7d33d6b0a6a,latin-script-hinglish-or-en-IN;not-devanagari,非正式对话，非目标域
iiitd_00011,In way,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,517bd90802b1,latin-script-hinglish-or-en-IN;not-devanagari,告知位置，闲聊定位
iiitd_00012,IN UR FRND CRCLEsbse sweet-sbse sidha-sbse feku-sbse cute-sbse frank-sbse selfish-sbse kamina-sbse special-sbse hot-ur fav-rply must fastjarur krna,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,dbd6d22426c0,latin-script-hinglish-or-en-IN;not-devanagari,要求回复，闲聊
iiitd_00013,"Is  Fuel  Really Costly?GO AHEAD, READ ON..I filled up my vehicles fuel tank, and I thought fuel has become really expensive ..HahahaBut when I compared it with other  liquids and with some calculations, I felt a little better...Here are the results below..Petrol : Rs.50  per litre..Coca Cola 330ml CAN : Rs.25i.e. Rs.76 per litre..Nariyal paani 200ml Rs.25i.e. Rs. 125 per litre..Pantene conditioner 400ml Rs.165i.e. Rs.413 per litre..Parachute oil100ml Rs21i.e. Rs210.00 per litre..n dis is d REAL KICKERLexmark inkjet color ink cartridge 21ml Rs.950i.e. Rs.45238 per litre..!!So dont curse  Petrol  rates ? be glad your byk/car doesnt run on ink cartridge, coke, hair oil etc.. :-):-D;-)JAO AUR PETROL PHUKOO..!!: :-P",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,9d99b7f2d7c4,latin-script-hinglish-or-en-IN;not-devanagari,油价对比搞笑段子，非目标域
iiitd_00014,In the lift,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,ef09c583fc07,latin-script-hinglish-or-en-IN;not-devanagari,日常短信，非目标域
iiitd_00015,In the hand of life its not important to hold all the good relation...But its more important how good u behave with the relation which u hold.:,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,10a7f88813f4,latin-script-hinglish-or-en-IN;not-devanagari,闲聊消息，非目标域
iiitd_00016,"In The End We Only Regret The Chances We Didnt Take. The Relationships We Were Scared To Have And The Decisions We Waited Too Long To Make. There Comes A Time In Your Life When You Realise Who Matters, Who Doesnt,  Who Never Did  And  Who Always Will,  So Dont Worry About The People From Your Past Theres A Reason They Didnt Make It To Your Future. So Only Send This To The People In Your Life Who Matter...  I Just Did..!!",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,06a22fad56e7,latin-script-hinglish-or-en-IN;not-devanagari,要求转发的chain message，非目标域
iiitd_00017,Why do girls rub their eyes when they get up in the morning?...'coz they don't have balls to scratch!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,686fcfbc83a0,latin-script-hinglish-or-en-IN;not-devanagari,Why类冷笑话，私人娱乐
iiitd_00018,"In the corridor of a government office there was a signboard reading, Do not make noise.  someone added: Otherwise we may wake up.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,65ccbd48ba5a,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00019,"In ThE c0oKiE oF LiFe, FriEnDs ArE tHe ChOcOLaTe ChiPs ThAt MaKe LiFe SwEeT, sUrPriSiNg & YuMmY..tHaNk u fOr BeiNg ThE YuMmY cHoCO cHiP oF mY LIFE.Good night:-)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,5f94aeb3c509,latin-script-hinglish-or-en-IN;not-devanagari,人生巧克力比喻短信链，非目标域
iiitd_00020,In ten minutes.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,f7f85f6d00c1,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00021,"In se baat kr le, wo bta denge",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,b2634e9e9c56,latin-script-hinglish-or-en-IN;not-devanagari,日常短信，非目标域
iiitd_00022,In rum.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,a09c29321061,latin-script-hinglish-or-en-IN;not-devanagari,告知在房间，闲聊定位
iiitd_00023,In room...nt coming...,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,1e9648e5ed00,latin-script-hinglish-or-en-IN;not-devanagari,告知在房间，闲聊定位
iiitd_00024,"Is  Fuel  Really Costly? GO AHEAD, READ ON.. I filled up my vehicle's fuel tank, and I thght fuel has become really expensive . But whn I compared it with other  liquids nd with some calculations , I felt a little better. Here r d results below.. Petrol : Rs. 64.97 per litre.. Coca Cola 330ml can : Rs.25 i.e. Rs.76 per litre.. Nariyal paani  200ml Rs.25 i.e. Rs. 125 per litre.. Pantene conditioner 400ml Rs.165 i.e. Rs.413 per litre.. Parachute oil 100ml Rs21 i.e. Rs210.00 per litre.. n dis is d REAL KICKER Lexmark inkjet color ink cartridge  21ml Rs.950 i.e. Rs.45238 per litre..!! So think before u say anythng...... So don't curse  Petrol  rates ? b glad ur byk/car doesn't run on ink cartridge, coke, hair oil etc..:-):-D;-) JAO AUR PETROL PHUKOO..!! :)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,9d99b7f2d7c4,latin-script-hinglish-or-en-IN;not-devanagari,油价对比搞笑段子，非目标域
iiitd_00025,In raghav sir cls,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,0ab795679ea0,latin-script-hinglish-or-en-IN;not-devanagari,私人对话片段，非目标域
iiitd_00026,"In our life hapiness is more imp than smile because smile cums from lips but, happiness cums from heart.......:-D",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,97d6dfc1d72c,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00027,Why do girls rub their eyes when they get up in the morning? . . . coz they dont have balls to scratch!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,686fcfbc83a0,latin-script-hinglish-or-en-IN;not-devanagari,Why类冷笑话，私人娱乐
iiitd_00028,"In my dream, U & ME went 2 a wishwell, I bent down threw a coin & made a wish, U bent down a litle more N fell into d well.. I shouted, 'Oh teri it works'",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,6fb932a55896,latin-script-hinglish-or-en-IN;not-devanagari,梦想相关短信，非目标域
iiitd_00029,In mrng around 12pm.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,51a15341b884,latin-script-hinglish-or-en-IN;not-devanagari,朋友间闲聊，非目标域
iiitd_00030,"In maths exam, Santa got one question.. Prove Sin x = 6n.. Santa cancelled 'n' from both the sides. Then six = 6 & wrote Dont mess with Santa d great. :-)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,d0ad33054e65,latin-script-hinglish-or-en-IN;not-devanagari,闲聊学习/考试，非目标域
iiitd_00031,"In lyf relations have many names...But the best 1 is FRIENDSHIP...Mom says- Tell me beta wats ur prblm,.I m like ur frnd na!..Dad says- Dnt feel scared,.Take me as ur frnd beta....Bro/sis says-Come on buddy dnt hide anythng frm me...I m like ur frnd....Lover says- Come on sweetheart...Treat me as ur frnd........Only frnd says: ha mujhe kyo bataega,.I m not ur frnd na.....dedicated to al my frnds!",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,44039c8467af,latin-script-hinglish-or-en-IN;not-devanagari,私人对话片段，非目标域
iiitd_00032,"in lyf god dun gv u d ppl u want..insteadt he gvs u d ppl u need,2 hurt u,2 luv u & 2 make u xactly d way he wntsu 2 b THE BEST gunnyt!!! - via WAY2SMS.COM",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,a1ee529da9e3,latin-script-hinglish-or-en-IN;not-devanagari,私人爱情表达，非目标域
iiitd_00033,"In life, we sometimes feel that all doors r now closed 4 us... If that happens with U.. . . . . . . . . . . . . . . Contact, DAYA- CID...:- Tod Dega...:-D",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,f2a5ae848b28,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00034,"In life, we sometimes feel that all doors are now closed for us.... If that happens with you, . . . . . . . . . . . . . Contact, DAYA- CID. :-D:-P",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,bcd8fea2cd40,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00035,irst no. Is 7688443092262767 and the second no. Is 457352573996622,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,4dcdba0e41e0,latin-script-hinglish-or-en-IN;not-devanagari,无关短信，非目标域
iiitd_00036,"In Life We Somtimes Feel That All Doors r Now closed 4 Us If That Happens In Yor Life, Remember These Words- A CLOSED DOOR ISN'T ALWAYS LOCKED...",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,f0d0b3750270,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00037,Why do engineers sleep for long hours..?? fantastic answer said.. our dreams r always big...:-),hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,f91f1aa4db86,latin-script-hinglish-or-en-IN;not-devanagari,Why类冷笑话，私人娱乐
iiitd_00038,In Life there are 5 things u shud never lose...... +ve Attitude...Heart...Hope...Self respct...and...Well u know the sender's name,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,e545e5e202e2,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00039,"In Life there are 5 things U should never lose.+ve AttitudeTrustHopeSelf respect&Well ab aur kya bataon, U know the senders name..gud mrng,-)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,08bbf475507a,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00040,"In life many people help u when it suits THEM, But very few help u when it suits YOU, Make the FEW ur FRIENDS but Be the FEW to the MANY....gudnght:-):-):-):-)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,f2596d003e35,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00041,"In life LOVE is never planned nor does it happen for a reason. But when LOVE is real, It becomes your PLAN for life and your reason for living...:)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,65395386e09d,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00042,In life if you dont adore or appreciate anything you will be filled with negativity n so a person can fall into depression. . Good morning. . Jai sri ram :-),hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,7f27220137cb,latin-script-hinglish-or-en-IN;not-devanagari,人生哲理短信链，非目标域
iiitd_00043,"In lif, dnt b slow so dat U miss me .. ..Dnt be 2 fast dat I miss U .. ..Jst Be Wid me, So dat we R 2gethr 4 d MOMENT called FOREVER.. ...:-) tc",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,4e30cea78b8e,latin-script-hinglish-or-en-IN;not-devanagari,私人想念表达，非目标域
iiitd_00044,In library...,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,748d7eaaf042,latin-script-hinglish-or-en-IN;not-devanagari,告知在图书馆，闲聊定位
iiitd_00045,In lab???,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,e3b0b0276e4b,latin-script-hinglish-or-en-IN;not-devanagari,告知在实验室，闲聊定位
iiitd_00046,"Irony of lyf: Footwears dat v wear r sold in AC shwrooms bt vegtabls dat v eat, r sold on footpath. Ppl v love, ignore us bt Ppl v ignore, love us.!! Gudnite",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,47e3331a1f4e,latin-script-hinglish-or-en-IN;not-devanagari,讽刺类短信链，非目标域
iiitd_00047,In lab 2.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,d23896aface1,latin-script-hinglish-or-en-IN;not-devanagari,告知在实验室，闲聊定位
iiitd_00048,In japan_ Chin cha chu In south africa_ Hula hula hu In china_ Chin pang pu In Hawai_ Hu Lu Lu . . . In india_ Pagal hai tu!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,4e0a63064471,latin-script-hinglish-or-en-IN;not-devanagari,朋友间调侃（idiot），闲聊
iiitd_00049,In HAPPY moment- Dn't forget me In Difficult moment- trust me In Quiet moment- call me In Painful moment- tell me & In Free moment-miss me.:-),hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,81dd2102bce0,latin-script-hinglish-or-en-IN;not-devanagari,让打电话，闲聊
iiitd_00050,In future How will i identify ur kids in clasroom? Its simple i ll just check who is erasing his notes wen d teacher is cleaning d board!  gudnyt,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,audit_fixpass_iiitd,00e34cead587,latin-script-hinglish-or-en-IN;not-devanagari | [fix:NEEDS_REVIEW->AD] 问答/竞猜增值短信，非诈骗 | [fix:AD->NEEDS_REVIEW] 私人闲聊误判问答,问答/竞猜增值短信，非诈骗
iiitd_00051,"In frndship words can go unspoken, yet still b undrstood, Thats y I'm sure tat though i don't say it often,u knw hw I value U. n u knw I mean it!",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,3c0da02eade9,latin-script-hinglish-or-en-IN;not-devanagari,朋友间闲聊，非目标域
iiitd_00052,"In exam hall a girl 2 santa: mujhe bas is ans ki starting bata do.Baki main likh lungi. SANTA ne dhyan se idhar-udhar dekha, fir dhire se bola: The",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,48da6d2317e5,latin-script-hinglish-or-en-IN;not-devanagari,Santa笑话段子，私人娱乐
iiitd_00053,In Europe they didn't know what 'shortage' meant. In China they didn't know what 'opinion' meant. In the Middle East they didn't know what 'solution' m,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,a16f420908ea,latin-script-hinglish-or-en-IN;not-devanagari,非正式对话，非目标域
iiitd_00054,In English- Gd 9t. In Deshi- Subhratri.In Urdu- Sabbakhair.In Telgu- Pandankopo.Apun ka style chal ludhak le,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,855c1e4c0031,latin-script-hinglish-or-en-IN;not-devanagari,朋友间闲聊，非目标域
iiitd_00055,In English- Gd 9t. In Deshi- Subhratri. In Urdu- Sabbakhair. In Telgu- Pandankopo. Apun ka style chal ludhak le,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,855c1e4c0031,latin-script-hinglish-or-en-IN;not-devanagari,日常短信，非目标域
iiitd_00056,why didn't you call? :(,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,666aa9a0bda4,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00057,"Irony at its best...- 
Two questions asked to indian women in a survey -
Q- Do u believe in having sex with a total stranger ?
A- Yuck !! Never.
Q- Do u believe in arranged marriages ? 
A- Yes. Ofcourse !
;);)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,9a5249ecbc16,latin-script-hinglish-or-en-IN;not-devanagari,讽刺类短信链，非目标域
iiitd_00058,IN ENGLISH gd nit IN HINDI shubh ratri IN URDU shabba khair IN KANNAD yara nadi IN TELUGU pandanko po APUN KA STYLE chal ludak le. GUD.NGT,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,9326958ea350,latin-script-hinglish-or-en-IN;not-devanagari,早安/晚安祝福，非目标域
iiitd_00059,"In D Xam A Studnt Wasnt Prepard,Lft D Page BlankN At D Bottom drew Flowrs NWrote.In D Memory Of My Memory,which Recntly Passed Away.:-D",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,dd358a7abfaf,latin-script-hinglish-or-en-IN;not-devanagari,非正式对话，非目标域
iiitd_00060,"In d Life, We don't need many Relationships to be maintained.. We just need to see that the Relationship We have maintained, has Life in it.! Gud nite!",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,b77ddbe7d0bd,latin-script-hinglish-or-en-IN;not-devanagari,私人对话片段，非目标域
iiitd_00061,"In d Book of Life,d Page Yestrdy is over,d Page 2day is being writen n d page future is blank.So write d Best U can,coz on dis Book,Eraser dosnt work gd nyt",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,05600610b1c5,latin-script-hinglish-or-en-IN;not-devanagari,人生之书短信链，非目标域
iiitd_00062,"In college,she came in my life I looked at her. She came n began 2 speak I didnt listen n when she began 2 leave I ran after her requestin Mam..mam ATTENDANCE.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,15dfc105dd25,latin-script-hinglish-or-en-IN;not-devanagari,闲聊大学生活，非目标域
iiitd_00063,In cls. Bol?,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,622c7dd04427,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00064,In cls,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,306a319914a4,latin-script-hinglish-or-en-IN;not-devanagari,极短回复/表情，非目标域
iiitd_00065,Why dere ws no need? Bad mein mein hi fasta,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,1a3aca652ad0,latin-script-hinglish-or-en-IN;not-devanagari,私人短信，非目标域
iiitd_00066,in class.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,bfd9c9782d7a,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00067,in class?,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,96a869dd4a42,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00068,"ironically, i feel d exact same way u used to feel abt me several months bck. i miss u n wana tok to u wen m nt on d fone wid u. bt i get so pisd off n disgusted by u d moment i tok to u, tht i wana disconnect immediately without evn saying bye. ps- don't bother calling, coz guess wot? m nt interested in toking to u! gn.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,5782bb3ae401,latin-script-hinglish-or-en-IN;not-devanagari,讽刺类短信链，非目标域
iiitd_00069,in class :* also battery little low.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,4828ca0bfa2f,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00070,in class :*,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,6771f821880c,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00071,In class :-/,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,913452a6f057,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00072,in class,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,4fdaa91d64eb,latin-script-hinglish-or-en-IN;not-devanagari,告知在课堂上，闲聊定位
iiitd_00073,"in case u stil haven't told ur mom tht m nt coming...then u cn tell her tht evn u didn kno n tht all d calls u misd of myn, wer to tell u tht i hv to go to colg tom(today) to see my pprs so i cnt meet u. n if u cn make ur mom stay away during d second half on saturday, den it is on.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,22c5d90724a6,latin-script-hinglish-or-en-IN;not-devanagari,闲聊大学生活，非目标域
iiitd_00074,In case of fire read this message..............I SAID IN CASE OF FIRE YOU GOBAR!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,9e9a66370d24,latin-script-hinglish-or-en-IN;not-devanagari,私人闲聊，非四类目标域
iiitd_00075,In car ryt nw. Text me or w8 till i reach der.,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,2747ea7a5676,latin-script-hinglish-or-en-IN;not-devanagari,告知位置，闲聊定位
iiitd_00076,In between if u get ne break talk to me,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,eef88d9778d2,latin-script-hinglish-or-en-IN;not-devanagari,私人短信，非目标域
iiitd_00077,Why are Earthquakes increasing? . . With 300 crore people making LOVE every night around the world how can u expect the Earth to be still!!  :-D:-D:-D,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,0f5a1c5002f0,latin-script-hinglish-or-en-IN;not-devanagari,日常沟通，非四类目标域
iiitd_00078,"In any relationship, the essence of trust is in it's bond.So, hold the hand of the person whom you love, rather than expecting them to hold urs. .! :-)",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,94aa419494c4,latin-script-hinglish-or-en-IN;not-devanagari,私人闲聊，非四类目标域
iiitd_00079,Ironical Thought So TrUe :- Loneliness is a Special Enjoyment When Chosen by Ourself...:-) Bt Hard 2 Digest When Gifted by OthErs..,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,98058c97afcf,latin-script-hinglish-or-en-IN;not-devanagari,讽刺类短信链，非目标域
iiitd_00080,In an interviewInterviewer: How does an electric motor run?Santa: Dhhuuuurrrrrrrrrr. Inteviewer shouts: Stop it.Santa: Dhhuurrrr dhup dh*smsgupshup.com,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,8384ba15ae94,latin-script-hinglish-or-en-IN;not-devanagari,面试笑话段子，私人娱乐
iiitd_00081,"In all it's festive glory comes Christmas,& brings a chance to wish u moments 2 rejoice throughout d year. M?RR? CHRI?TMA?  & HAPP? N?W ??AR        nitin",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,5a8381ad7032,latin-script-hinglish-or-en-IN;not-devanagari,圣诞节祝福短信，非四类目标域
iiitd_00082,IN ADVNCE..:-) may god bless u in 2011!,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,cd78b0f6eca4,latin-script-hinglish-or-en-IN;not-devanagari,私人对话片段，非目标域
iiitd_00083,"In a party, a beautiful girl aproached a guy n asked-r u goin 2 dance? Guy felt so happy and said yes D girl said thats gud,so can i have ur chair:-D:-D",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,84112cd07517,latin-script-hinglish-or-en-IN;not-devanagari,表达开心，闲聊
iiitd_00084,"In a park 2 lovers eating chips by lookng into each other's eyes...  Girl: Dear,wt r u thinkng rite now? Boy: tu mujse zyada chips kha rhi hai bhukki.",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,51c10c481051,latin-script-hinglish-or-en-IN;not-devanagari,私人闲聊，非四类目标域
iiitd_00085,"In a lift,man's elbow acidntly touchd lady's brest Man-If ur heart is as soft as ur breast u'll 4gve me Ldy-If ur penis is as hard as ur elbow m in Room82. :D",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,6f8bb83f61b6,latin-script-hinglish-or-en-IN;not-devanagari,玩笑式短信链（找CID），非目标域
iiitd_00086,In a Kiss: 0.7gm protein 0.45 gm fat 0.19 gm chemical 50 variety of bacteria will die.. This is true.. So catch ur lover n start kissing and b healthy... Gn,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,6a330be92df8,latin-script-hinglish-or-en-IN;not-devanagari,私人对话片段，非目标域
iiitd_00087,"In a crowded bus, a boy touches a girl's hips... Girl: dekhiyen, aap ye achchha nahi kar rahe hai. Boy: itni bhid mein isse achchha kaise karu?",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,e18287962610,latin-script-hinglish-or-en-IN;not-devanagari,政治笑话/段子，私人娱乐
iiitd_00088,In a class lady teacher to students Always use condom to prevent aids. A girl:mam agar apko koi kahe ki kulfi ko lifafe me dalkar chuso to kya apko swad aayega,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,888bd62b1398,latin-script-hinglish-or-en-IN;not-devanagari,闲聊饮品，非目标域
iiitd_00089,"In a Botany class, Teacher-Its b'coz of the growth harmones, a ripen fruit falls off the tree! Sardar-Poor Newton! He thought they fall coz of gravity!;-) Gn",hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,5fa871a6d314,latin-script-hinglish-or-en-IN;not-devanagari,Sardar/Jatt笑话段子，私人娱乐
iiitd_00090,irl: What Do You Prefer- Legs or Breasts??? Sardar: I Love Pussy! Girl Slaps him & says : You are not in a whore house. This is Kentucky Fried Chicken.(KFC,hi,iiitd_sms_spam_v1,ham,NEEDS_REVIEW,manual,838c71a7a6a1,latin-script-hinglish-or-en-IN;not-devanagari,Sardar/Jatt笑话段子，私人娱乐
