id,text,language,source,uci_binary,label,annotator,template_group,notes
uci_02410,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :),en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,3215d70dd41b,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02411,Ok... Thanx... Gd nite 2 ¨¹ too...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,6ea1f64c3ceb,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02412,"Come to me right now, Ahmad",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,349bfe0528fa,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02413,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,en,uci_sms_spam_collection_v1,spam,AD,,da95ecf26aa2,发送CHAT到86688收费聊天交友平台推广，属于付费聊天服务广告
uci_02414,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,de4af2555e00,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02415,O was not into fps then.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,20f5c04bf874,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02416,Huh means computational science... Y they like dat one push here n there...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,8a6f5bc14cbd,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02417,"Could you not read me, my Love ? I answered you",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5c269ccde6a7,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02418,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,19c4f9ec42ab,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02419,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,624bd5783b61,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02420,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,en,uci_sms_spam_collection_v1,spam,AD,,f0239f056c7b,短信服务费积分推广包含退订说明和登录网址，属于付费订阅服务广告
uci_02421,Oic... Then better quickly go bathe n settle down...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,e22e5dc32e80,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02422,Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,b888ec6ea08e,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02423,A bloo bloo bloo I'll miss the first bowl,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,dccd10ed6551,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02424,Lmao but its so fun...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,15ca4e603b23,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02425,Oh k k:)but he is not a big hitter.anyway good,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,ddcc80cc893f,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02426,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,32cce43bdb62,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02427,Valentines Day Special! Win over ¡ê1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201,en,uci_sms_spam_collection_v1,spam,FRAUD,,71595565c77a,情人节特别活动声称赢得1000英镑并让发送GO到付费号码，典型假中奖诈骗
uci_02428,Do you think i can move  &lt;#&gt;  in a week,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,3503e3df1391,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02429,She.s find. I sent you an offline message to know how anjola's now.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,fe0644c0135f,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02430,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,,d343e709b342,邀请访问ASJESUS.COM网站并让回复意见的群发消息，非直接诈骗也不是促销广告，归为待审核
uci_02431,How was txting and driving,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,137f5bdf1a76,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02432,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,2b8292c327e2,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02433,Really dun bluff me leh... U sleep early too. Nite...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,0c4d3c518687,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02434,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,0a8c2a829f7b,关于瑞士银行印度存款的政治宣传转发消息，非个人聊天但也非诈骗/广告/骚扰，归为待审核
uci_02435,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,83f382964e01,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02436,Oh ya ya. I remember da. .,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,961f1014cabf,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02437,Btw regarding that we should really try to see if anyone else can be our 4th guy before we commit to a random dude,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,84a586078b61,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02438,"For ur chance to win ¡ê250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",en,uci_sms_spam_collection_v1,spam,FRAUD,,963843db0e3d,声称每周赢取250英镑现金并要求发PLAY到付费号码，假中奖吸费诈骗
uci_02439,I not busy juz dun wan 2 go so early.. Hee..,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5411fe3ddd60,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02440,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,b134f90c1caf,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02441,"Great. I'm in church now, will holla when i get out",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,bdc273f43801,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02442,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,4c433615471b,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02443,I donno if they are scorable,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,b53e9079368a,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02444,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,2bf5a0ce17b5,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02445,"Yes but i dont care! I need you bad, princess!",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,c03fe24c9d8c,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02446,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,232a6b4002a0,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02447,"Sorry, I'll call later",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,d5081f7715ce,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02448,Tmr then ¨¹ brin lar... Aiya later i come n c lar... Mayb ¨¹ neva set properly ¨¹ got da help sheet wif ¨¹...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,233bde3ad490,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02449,Do u knw dis no. &lt;#&gt; ?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,2267f00dabb5,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02450,Then she dun believe wat?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,6c20c114d480,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02451,K..give back my thanks.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,639fd00ea995,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02452,I know complain num only..bettr directly go to bsnl offc nd apply for it..,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,e7e1143ac0db,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02453,Okay. I've seen it. So i should pick it on friday?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,f1a764a1111d,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02454,How much she payed. Suganya.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,62a52d6da2e3,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02455,Left dessert. U wan me 2 go suntec look 4 u?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5b42725f7952,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02456,"Abeg, make profit. But its a start. Are you using it to get sponsors for the next event?",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,cf93de64b471,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02457,Onum ela pa. Normal than.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,a108412a6f7f,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02458,K.k..how is your sister kids?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,9502c86ea913,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02459,"Cool, I'll text you when I'm on the way",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,dfb4bdc66955,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02460,Nope. Meanwhile she talk say make i greet you.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,f77446017c1d,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02461,i cant talk to you now.i will call when i can.dont keep calling.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,026197f7555f,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02462,Anything lar...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,160b53691eee,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02463,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5303e6185b63,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02464,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5e55cd29c6dc,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02465,They will pick up and drop in car.so no problem..,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,1392e8319676,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02466,S.i think he is waste for rr..,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,d57b0f8789ec,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02467,He is world famamus....,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,6c613655f1b2,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02468,Is there coming friday is leave for pongal?do you get any news from your work place.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,f0f9f321f95a,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02469,Lol well don't do it without me. We could have a big sale together.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,35e994740bc0,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02470,* Am on my way,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,9c676475a0c1,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02471,Eat at old airport road... But now 630 oredi... Got a lot of pple...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,19a4d8a72eb7,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02472,"sry can't talk on phone, with parents",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,caabce231734,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02473,"Final Chance! Claim ur ¡ê150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. ¡ê3.00 Subs 16",en,uci_sms_spam_collection_v1,spam,FRAUD,,b251ab128a48,声称最终机会领取150英镑折扣券并发送YES到付费号码，假奖励吸费诈骗
uci_02474,Ok lor wat time ¨¹ finish?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,8109d8674f07,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02475,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,883375d38cae,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02476,Mm i am on the way to railway,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,48633d40d9cc,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02477,i dnt wnt to tlk wid u,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,47463db3f04d,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02478,"I'm done. I'm sorry. I hope your next space gives you everything you want. Remember all the furniture is yours. If i'm not around when you move it, just lock all the locks and leave the key with jenne.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,ebe3b9be7d26,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02479,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,d2344f62981b,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02480,"Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007",en,uci_sms_spam_collection_v1,spam,AD,,e460892d82dd,万圣节主题诺基亚logo和免费铃声下载推广，属于付费内容订阅广告
uci_02481,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or ¡ê10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",en,uci_sms_spam_collection_v1,spam,NEEDS_REVIEW,,74dea0b47e59,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02482,K.:)do it at evening da:)urgent:),en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,f8ac410b861a,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02483,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,41c444e67e25,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02484,Mm have some kanji dont eat anything heavy ok,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,c81b00955d25,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02485,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,ec96a9f8b66c,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02486,Lol that's different. I don't go trying to find every real life photo you ever took.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,11c324080df2,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02487,I dont thnk its a wrong calling between us,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,08326a364c0f,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02488,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,832b0aeecdea,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02489,Aiyah e rain like quite big leh. If drizzling i can at least run home.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,0c7f815e2b22,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02490,I have 2 docs appointments next week.:/ I'm tired of them shoving stuff up me. Ugh why couldn't I have had a normal body?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,b7accacc93f7,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02491,Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,a16d77117b5b,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02492,"Greetings me, ! Consider yourself excused.",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,f2b49021526d,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02493,No drama Pls.i have had enough from you and family while i am struggling in the hot sun in a strange place.No reason why there should be an ego of not going 'IF NOT INVITED' when actually its necessity to go.wait for very serious reppurcussions.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,6b53ac473364,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02494,they released another Italian one today and it has a cosign option,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,0f04511f46ad,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02495,"You at mu? You should try to figure out how much money everyone has for gas and alcohol, jay and I are trying to figure out our weed budget",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,d608a4652376,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02496,WINNER! As a valued network customer you hvae been selected to receive a ¡ê900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,en,uci_sms_spam_collection_v1,spam,FRAUD,,d1a84047a65b,声称作为获奖网络客户获得900英镑奖励并要求拨打电话领取，典型中奖诈骗
uci_02497,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,97be819832ae,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02498,Dai what this da.. Can i send my resume to this id.,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,8d53716c1b1b,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02499,"I know where the  &lt;#&gt;  is, I'll be there around 5",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,7c6d27ffc747,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02500,Yup i've finished c ¨¹ there...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,0b7694f7f333,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02501,Remember to ask alex about his pizza,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,33ec7cf7d3db,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02502,No da..today also i forgot..,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,8b0616924c8c,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02503,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,9ea7569ace5a,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02504,Fwiw the reason I'm only around when it's time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5e8814282d89,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02505,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,feb4f6c1cbed,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02506,Congrats kano..whr s the treat maga?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,5110c23476b3,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02507,Who u talking about?,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,68bbf3ba1bbd,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02508,Yup...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,4defd3fdb651,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
uci_02509,Ok...,en,uci_sms_spam_collection_v1,ham,NEEDS_REVIEW,,7a85f4764bbd,私人日常闲聊/生活对话/朋友间沟通，不属于事务/广告/诈骗/骚扰四类
